,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa,prcc_f,dvt,Stock Return,Industry
0,1141807,1ST CONSTITUTION BANCORP,2014-03-31,7,0,91,3,0,5,0,1,0,2,3,4,2,0,15933,956.779,4.356,0.004552776,10.89,0.0,1.01010101,Retail Trade
1,910638,3D SYSTEMS CORP,2014-02-28,14,0,47,10,8,0,0,0,0,1,3,3,0,0,8567,1525.97,11.637,0.007625969,32.87,0.0,182.7198053,Manufacturing
2,1413898,A. H. Belo Corp,2014-03-07,2,0,2,1,3,2,0,1,0,0,1,2,1,0,2402,298.747,92.929,0.311062538,10.38,91.16,850.1926782,Manufacturing
3,706688,AARON'S INC,2014-02-24,3,2,10,5,3,3,0,0,0,0,3,0,0,0,2988,2456.844,78.233,0.031842885,30.57,6.218999999999999,16.51619235,Services
4,1800,ABBOTT LABORATORIES,2014-02-21,2,0,13,1,2,0,0,0,0,0,2,2,1,0,3671,41275.0,2284.0,0.05533616,45.02,1363.0,3012.683252,Manufacturing
5,867665,ABRAXAS PETROLEUM CORP,2014-03-17,5,0,31,5,4,2,0,1,1,4,4,7,0,0,10095,374.899,63.269,0.168762787,2.94,0.0,10.91836735,Mining
6,1070494,ACADIA PHARMACEUTICALS INC,2014-02-27,5,0,18,10,5,4,0,0,1,6,4,10,0,0,13903,325.458,-92.475,-0.284138045,31.75,0.0,-21.29133858,Manufacturing
7,1280600,ACCELERON PHARMA INC,2014-03-17,7,0,32,9,15,0,0,1,0,3,3,7,0,0,14662,186.296,-51.25899999999999,-0.275148151,38.96,0.0,1.642710472,Manufacturing
8,1176316,ACCESS NATIONAL CORP,2014-03-14,1,4,89,13,2,2,0,0,0,2,8,6,3,0,28231,1052.88,13.925,0.013225629,16.92,5.2139999999999995,19.17257683,Retail Trade
9,817979,ACCURIDE CORP,2014-03-06,2,0,25,4,12,0,1,0,0,3,1,4,0,0,8723,598.422,-2.307,-0.003855139,4.34,0.0,-14.05529954,Manufacturing
10,1427925,ACELRX PHARMACEUTICALS INC,2014-03-17,13,0,57,23,22,0,1,2,1,10,12,13,0,0,38466,86.447,-33.353,-0.385820214,6.73,0.0,68.05349183,Manufacturing
11,935036,"ACI WORLDWIDE, INC.",2014-02-28,1,0,20,5,7,3,0,0,0,0,2,4,0,0,6509,1850.7,67.56,0.036505106,20.17,0.0,222.2607833,Services
12,715579,ACNB CORP,2014-03-07,1,2,23,3,0,0,1,0,0,3,2,2,1,2,6737,1089.808,10.29,0.00944203,21.75,4.622,4.285057471,Retail Trade
13,880984,"ACORN ENERGY, INC.",2014-03-17,5,0,30,35,20,1,0,3,0,1,4,7,0,0,22807,29.543000000000006,-27.145,-0.91883018,0.7709999999999999,0.0,427.8858625,Manufacturing
14,786947,"ACURA PHARMACEUTICALS, INC",2014-03-03,7,0,10,10,8,3,1,0,0,3,2,4,0,0,20230,16.195,-13.209,-0.815622106,0.45,0.0,271.1111111,Manufacturing
15,1004724,"ADCARE HEALTH SYSTEMS, INC",2014-03-31,3,1,13,31,13,5,0,0,0,0,11,7,0,0,17536,209.961,-13.599,-0.064769171,4.01,2.5839999999999996,71.67082294,"Finance, Insurance, and Real Estate"
