,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa,prcc_f,dvt,Stock Return,Industry
0,1141807,1ST CONSTITUTION BANCORP,2011-03-23,6,0,60,3,1,5,0,1,0,3,4,4,2,0,13853,791.727,3.931,0.004965095,6.98,0.0,22.63610315,Retail Trade
1,1420525,"1st Century Bancshares, Inc.",2011-03-15,2,2,80,4,1,0,0,0,0,5,7,8,4,0,15202,405.274,1.025,0.002529153,3.54,0.0,15.81638418,Retail Trade
2,66740,3M CO,2011-02-16,0,0,6,1,1,0,0,0,0,0,2,1,0,0,1207,31616.0,4283.0,0.135469383,81.73,1555.0,1908.197724,Manufacturing
3,824142,AAON INC,2011-03-10,1,0,5,0,0,0,0,0,0,0,0,1,0,0,1174,178.981,13.986,0.078142373,20.49,5.935,66.64226452,Manufacturing
4,1043533,ABOVENET INC,2011-03-01,4,0,7,5,2,0,0,1,0,1,0,5,0,0,4493,911.0,72.7,0.079802415,65.01,0.0,-10.07537302,"Transportation, Communications, Electric, Gas, Sanitation"
5,934549,ACACIA RESEARCH CORP,2011-02-28,7,0,13,10,5,7,0,0,0,0,2,4,0,0,6373,352.8769999999999,21.106,0.059811209,36.51,0.0,-28.95097234,"Finance, Insurance, and Real Estate"
6,899629,ACADIA REALTY TRUST,2011-02-28,1,1,27,7,6,0,0,0,0,2,3,0,1,0,13191,1653.319,51.555,0.03118273,20.14,29.444000000000003,136.7626614,"Finance, Insurance, and Real Estate"
7,712034,ACCO BRANDS CORP,2011-02-24,4,0,23,8,3,0,0,1,0,3,3,2,0,0,7513,1116.7,56.7,0.050774604,9.65,0.0,-11.70984456,Manufacturing
8,896159,ACE Ltd,2011-02-25,4,0,43,6,3,0,0,0,0,1,8,4,2,1,9937,87505.0,1585.0,0.018113251,70.12,354.0,493.6252139,"Finance, Insurance, and Real Estate"
9,2098,ACME UNITED CORP,2011-03-11,4,0,7,3,4,0,0,0,0,0,1,1,0,0,1863,55.222,2.8110000000000004,0.050903625,9.5,0.807,8.705263158,Manufacturing
10,1008848,ACORDA THERAPEUTICS INC,2011-03-01,9,0,33,11,2,1,0,0,0,2,7,4,0,0,16664,379.48800000000006,30.605,0.080648136,23.84,0.0,14.34563758,Manufacturing
11,1062478,ACTUATE CORP,2011-03-11,0,0,18,5,4,2,0,0,0,6,3,3,0,0,9448,176.90400000000002,11.987,0.067759915,5.86,0.0,-2.730375427,Services
12,2178,"ADAMS RESOURCES & ENERGY, INC.",2011-03-21,1,0,8,5,4,1,0,0,0,1,3,2,0,0,6940,378.84,22.931,0.060529511,29.111,2.404,-8.213390127,Wholesale Trade
13,1000753,ADMINISTAFF INC \DE\,2011-02-14,1,26,14,19,2,0,0,0,0,0,5,2,2,0,13404,712.2589999999999,30.47,0.042779382000000005,25.35,15.742,77.68047337,Services
14,1158449,ADVANCE AUTO PARTS INC,2011-03-01,4,1,6,0,1,0,0,0,0,2,2,0,2,1,3077,3655.754,394.682,0.10796186,69.63,17.98,20.82435732,Retail Trade
15,2488,ADVANCED MICRO DEVICES INC,2011-02-18,15,0,16,16,8,1,0,0,0,3,0,5,0,0,20482,4954.0,491.0,0.099111829,5.4,0.0,51.48148148,Manufacturing
16,919956,ADVOCAT INC,2011-03-07,0,0,8,0,3,1,0,1,0,2,1,2,0,0,2637,116.744,1.367,0.011709381,5.55,1.636,23.93513514,Services
17,1168213,AEROPOSTALE INC,2011-03-28,5,0,6,1,2,2,0,0,0,1,1,0,1,0,3410,735.2330000000002,69.515,0.094548259,16.37,0.0,47.34270006,Retail Trade
18,908598,AETRIUM INC,2011-03-30,1,0,7,2,2,0,0,0,0,3,0,0,0,0,1222,14.255,-4.748,-0.333076114,0.73,0.0,221.9041096,Construction
19,1282543,AFFIRMATIVE INSURANCE HOLDINGS INC,2011-03-31,6,0,40,1,5,0,0,0,1,0,0,4,0,0,7081,444.80800000000005,-164.209,-0.36916827,0.53,0.0,403.7735849,"Finance, Insurance, and Real Estate"
20,913077,AFFYMETRIX INC,2011-02-28,4,0,19,3,2,9,0,0,0,2,2,4,0,0,6859,438.015,-28.161,-0.064292319,4.09,0.0,22.98288509,Manufacturing
21,1098972,AGENUS INC,2011-03-16,15,0,43,17,9,1,0,3,1,2,6,7,0,0,19022,19.808,-23.276,-1.175080775,2.0,0.7909999999999999,-9.95,Manufacturing
22,917251,AGREE REALTY CORP,2011-03-15,4,0,39,9,7,0,0,1,0,4,2,1,0,0,12191,293.944,9.551,0.032492584,24.38,15.767000000000001,72.09598031,"Finance, Insurance, and Real Estate"
23,918160,AK STEEL HOLDING CORP,2011-02-22,1,0,25,1,4,1,0,0,0,5,2,1,3,0,3203,4449.9,-155.6,-0.034967078,8.26,22.0,364.527845,Manufacturing
24,3116,AKORN INC,2011-03-14,1,0,11,5,6,0,0,0,0,2,2,1,0,0,9977,307.145,43.01300000000001,0.140041349,11.12,0.0,-45.41366906,Manufacturing
25,766421,ALASKA AIR GROUP INC,2011-02-23,2,0,20,11,2,0,0,1,0,3,1,1,2,0,9334,5195.0,244.5,0.047064485,75.09,0.0,-24.50392862,"Transportation, Communications, Electric, Gas, Sanitation"
26,1065087,ALBANY MOLECULAR RESEARCH INC,2011-03-16,3,0,12,3,6,2,0,0,0,1,0,2,0,0,6230,263.067,-32.296,-0.122767204,2.93,0.0,91.80887372,Manufacturing
27,3453,ALEXANDER & BALDWIN INC,2011-02-25,2,0,26,1,2,1,0,0,0,1,2,2,0,0,5632,2544.0,34.0,0.01336478,40.82,53.0,127.9029887,"Transportation, Communications, Electric, Gas, Sanitation"
28,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,2011-03-01,15,4,43,12,7,3,0,0,0,5,6,8,1,0,23021,6574.129,131.418,0.019990177,68.97,140.71,210.2363346,"Finance, Insurance, and Real Estate"
29,1097149,ALIGN TECHNOLOGY INC,2011-02-24,5,0,27,31,12,5,0,0,1,6,1,9,0,0,20302,649.264,66.71600000000001,0.102756352,23.725,0.0,-17.63962065,Manufacturing
30,850693,ALLERGAN INC,2011-03-01,6,2,32,9,7,0,0,1,0,5,8,5,0,0,14023,8508.6,934.5,0.109830054,87.74,61.1,47.90289492,Manufacturing
31,1101215,ALLIANCE DATA SYSTEMS CORP,2011-02-28,0,1,16,4,1,0,0,0,0,0,0,0,0,0,7784,8980.249,315.286,0.035108826,103.84,0.0,-31.59668721,Services
32,796317,ALLIANCE FINANCIAL CORP /NY/,2011-03-14,6,1,25,2,1,0,0,0,0,0,5,6,1,0,4456,1409.09,13.297,0.009436587,30.88,5.797999999999999,23.53626943,Retail Trade
33,825313,ALLIANCEBERNSTEIN HOLDING L.P.,2011-02-10,1,0,21,2,3,0,0,0,0,5,2,4,1,0,6416,1626.531,-93.268,-0.057341668,13.08,145.55200000000002,1191.146789,"Finance, Insurance, and Real Estate"
34,1097264,ALLOS THERAPEUTICS INC,2011-03-03,6,0,25,8,8,4,0,1,0,7,9,13,0,0,13485,122.077,-30.527,-0.250063485,1.42,0.0,224.6478873,Manufacturing
35,799231,ALMOST FAMILY INC,2011-02-28,2,1,37,11,10,0,0,0,0,1,4,13,0,0,14689,250.822,20.802,0.082935309,16.58,0.0,131.7249698,Services
36,768251,ALTERA CORP,2011-02-16,5,0,19,15,1,1,0,0,0,2,2,8,1,0,11698,4282.268,770.711,0.17997729199999998,37.1,90.06,238.6522911,Manufacturing
37,764180,"ALTRIA GROUP, INC.",2011-02-25,7,0,15,4,5,0,0,0,0,1,7,5,0,0,3096,36962.0,3390.0,0.091715816,29.65,3266.0,10998.21248,Manufacturing
