,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa,prcc_f,dvt,Stock Return,Industry
0,1141807,1ST CONSTITUTION BANCORP,2010-03-26,4,0,25,1,0,5,0,0,0,1,2,3,2,0,4507,644.395,3.3080000000000003,0.005133497,8.56,1.022,-15.04672897,Retail Trade
1,1420525,"1st Century Bancshares, Inc.",2010-03-15,1,1,16,1,0,0,0,0,0,5,3,4,3,0,4785,308.3640000000001,-1.963,-0.006365853,4.0999,0.0,-15.85160614,Retail Trade
2,1167178,"A123 SYSTEMS, INC.",2010-03-15,8,1,28,7,16,2,0,0,0,8,8,7,0,1,18457,576.158,-152.56,-0.264788478,9.54,0.0,135.2201258,Manufacturing
3,706688,AARON'S INC,2010-02-26,2,2,7,35,2,3,0,0,0,0,2,3,2,0,9365,1502.072,118.376,0.078808473,20.39,3.9810000000000003,55.52231486,Services
4,1043533,ABOVENET INC,2010-03-16,6,0,10,5,3,0,0,1,0,1,0,5,0,0,4638,807.8,69.4,0.085912355,58.46,129.0,231.919261,"Transportation, Communications, Electric, Gas, Sanitation"
5,1070494,ACADIA PHARMACEUTICALS INC,2010-03-09,3,0,12,7,6,4,0,0,0,4,4,9,0,0,11269,38.394,15.139,0.3943064020000001,1.2,0.0,10,Manufacturing
6,1176316,ACCESS NATIONAL CORP,2010-03-29,1,2,67,8,2,2,0,1,1,1,7,6,4,0,13345,831.824,7.576,0.009107696,6.46,0.423,-2.120743034,Retail Trade
7,817979,ACCURIDE CORP,2010-03-30,2,0,25,5,13,0,0,0,0,2,0,4,2,0,8634,874.05,-75.73,-0.08664264099999999,15.88,0.0,-50.50377834,Manufacturing
8,2098,ACME UNITED CORP,2010-03-09,4,0,7,3,4,0,0,0,0,0,1,1,0,0,1948,49.581,2.573,0.051894879000000005,9.52,0.682,3.795168067,Manufacturing
9,1008848,ACORDA THERAPEUTICS INC,2010-02-26,8,0,32,9,2,1,0,0,0,2,5,3,0,0,15440,342.101,-11.769,-0.034402121,27.26,0.0,-7.556859868,Manufacturing
10,1062478,ACTUATE CORP,2010-03-10,0,0,17,8,4,2,0,0,0,6,3,3,0,0,9357,195.631,10.647,0.05442389,5.7,0.0,-24.9122807,Services
11,2178,"ADAMS RESOURCES & ENERGY, INC.",2010-03-23,1,0,5,0,4,0,0,0,0,1,1,1,0,0,2599,301.305,8.631,0.028645393,24.316,2.2769999999999997,0.045237704,Wholesale Trade
12,894158,"ADEONA PHARMACEUTICALS, INC.",2010-03-31,5,0,17,11,5,0,1,1,0,2,4,9,0,0,22245,4.1110000000000015,-1.711,-0.416200438,1.25,0.0,-55.2,Manufacturing
