,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa,prcc_f,dvt,Stock Return,Industry
0,34782,1ST SOURCE CORP,2008-02-22,1,0,20,2,0,1,0,0,0,1,1,0,0,0,2095,4464.174,33.386,0.0074786509999999985,23.63,14.011,32.54760897,Retail Trade
1,1069996,21ST CENTURY HOLDING CO,2008-03-17,6,0,36,11,6,4,0,0,0,2,4,4,0,0,7131,197.109,-2.478,-0.012571724,4.63,5.697,313.3261339,"Finance, Insurance, and Real Estate"
2,58592,4 KIDS ENTERTAINMENT INC,2008-03-17,3,0,8,5,11,0,0,0,0,2,5,4,0,0,5947,100.574,-36.819,-0.366088651,1.96,0.0,570.9183673,"Finance, Insurance, and Real Estate"
3,1042809,"A.C. Moore Arts & Crafts, Inc.",2008-03-27,1,1,5,1,6,4,0,0,0,1,0,1,1,0,4191,293.746,-26.571,-0.0904557,1.4,0.0,882.1428571,Retail Trade
4,706688,AARON RENTS INC,2008-02-29,2,0,6,37,2,3,0,0,0,1,1,3,0,0,10067,1233.27,90.189,0.073129972,26.62,3.471,-14.68444778,Services
5,1018840,ABERCROMBIE & FITCH CO /DE/,2008-03-28,1,1,11,5,8,5,0,1,0,1,1,2,0,0,4167,2848.181,272.255,0.002795514,17.85,60.769,1676579.442,Retail Trade
6,867665,ABRAXAS PETROLEUM CORP,2008-03-17,3,0,16,2,2,3,0,0,2,3,0,4,0,0,7082,211.83900000000003,-52.403,-0.247371825,0.72,0.0,436.1111111,Mining
7,934549,ACACIA RESEARCH CORP,2008-03-14,4,0,12,10,2,5,0,0,0,2,2,6,0,0,5429,73.074,-13.757,-0.188261215,3.04,0.0,195.3947368,"Finance, Insurance, and Real Estate"
8,899629,ACADIA REALTY TRUST,2008-02-29,2,0,22,5,7,0,0,0,0,2,2,0,0,0,12539,1291.556,27.548,0.021329311,14.27,27.548000000000002,272.5157673,"Finance, Insurance, and Real Estate"
9,712034,ACCO BRANDS CORP,2008-02-29,14,0,32,17,5,0,22,2,2,12,4,1,0,0,49892,1282.2,-339.2,-0.264545313,3.45,0.0,364.9275362,Manufacturing
10,1070336,ACHILLION PHARMACEUTICALS INC,2008-03-05,4,0,16,13,10,3,0,1,0,3,3,5,0,0,10605,38.561,-28.151,-0.730038121,0.68,0.0,633.8235294,Manufacturing
11,1130258,ACME PACKET INC,2008-03-13,5,0,13,2,12,1,0,1,0,7,0,11,0,0,9806,174.01,11.572,0.066501925,5.26,0.0,139.3536122,Manufacturing
12,1008848,ACORDA THERAPEUTICS INC,2008-03-14,7,0,17,6,4,1,0,0,0,0,5,4,0,0,11947,281.501,-74.34,-0.264084319,20.51,0.0,7.069722087,Manufacturing
13,1062478,ACTUATE CORP,2008-03-17,0,0,15,6,4,2,0,0,0,6,3,3,0,0,7843,150.512,13.578,0.090212076,2.96,0.0,162.5,Services
14,863650,ADAM INC,2008-03-17,0,0,5,1,1,0,0,0,0,0,1,4,0,0,2795,53.146,0.038,0.0007150110000000001,4.0,0.0,109.25,Services
15,1211583,ADHEREX TECHNOLOGIES INC,2008-03-28,7,0,18,2,5,2,0,0,0,7,10,3,0,0,12859,6.06,-13.6,-2.244224422,0.0377,0.0,616.1803714,Manufacturing
16,796343,ADOBE SYSTEMS INC,2008-01-24,4,1,12,1,14,1,0,1,0,4,0,5,0,0,4873,5821.598000000001,871.814,0.149755102,23.16,0.0,81.95164076,Services
17,926282,ADTRAN INC,2008-02-28,4,0,16,7,9,6,0,1,0,1,3,8,0,1,7302,473.615,78.581,0.165917465,14.88,22.919,197.7083333,Manufacturing
18,927003,ADVANCED ENERGY INDUSTRIES INC,2008-03-18,2,0,14,5,3,4,0,0,0,2,0,4,0,0,5952,420.637,-1.779,-0.0042293,9.95,0.0,31.45728643,Manufacturing
19,2488,ADVANCED MICRO DEVICES INC,2008-02-26,10,0,15,18,20,1,0,0,1,7,2,6,1,0,24517,7675.0,-3098.0,-0.403648208,2.16,0.0,247.2222222,Manufacturing
20,919956,ADVOCAT INC,2008-03-11,0,0,7,0,4,1,0,1,0,2,2,2,0,0,2570,105.87,5.735,0.054170209,2.985,0.344,280.7035176,Services
21,874761,AES CORP,2008-03-17,23,0,96,41,7,0,1,1,1,13,13,5,0,0,91074,34806.0,1234.0,0.035453657,8.24,0.0,159.5873786,"Transportation, Communications, Electric, Gas, Sanitation"
22,1004434,AFFILIATED MANAGERS GROUP INC,2008-02-29,0,0,11,3,2,1,0,0,0,1,1,0,0,0,3593,3246.37,23.17,0.007137202,41.92,0.0,180.2003817,"Finance, Insurance, and Real Estate"
23,1158223,AFFYMAX INC,2008-03-13,9,0,40,30,12,0,0,1,1,7,8,8,0,0,25421,167.72,-86.51,-0.515800143,9.99,0.0,123.8238238,Public Administration
24,4977,AFLAC INC,2008-02-29,5,0,21,2,3,0,0,0,0,0,1,1,0,0,2642,79331.0,1254.0,0.015807188,45.84,585.0,1312.80541,"Finance, Insurance, and Real Estate"
25,917251,AGREE REALTY CORP,2008-03-13,2,0,31,9,3,0,0,0,0,4,1,1,0,0,5527,256.897,15.017,0.05845533400000001,18.13,15.627,152.2173194,"Finance, Insurance, and Real Estate"
26,948846,AIRTRAN HOLDINGS INC,2008-02-04,1,0,25,7,9,3,0,0,1,3,4,5,0,0,6231,2062.86,-273.829,-0.132742406,4.44,0.0,61.26126126,"Transportation, Communications, Electric, Gas, Sanitation"
27,1086222,AKAMAI TECHNOLOGIES INC,2008-02-29,1,0,5,3,4,1,0,0,0,1,0,1,1,0,4839,1880.951,145.138,0.07716203099999999,15.09,0.0,129.2909211,Services
28,771729,"ALABAMA AIRCRAFT INDUSTRIES, INC",2008-03-31,2,0,18,11,6,0,6,1,0,1,2,1,0,0,9348,36.079,-5.7860000000000005,-0.160370299,1.69,0.0,67.4556213,Manufacturing
29,766421,ALASKA AIR GROUP INC,2008-02-20,1,0,18,13,4,0,0,0,0,2,1,4,1,0,10744,4835.6,-135.9,-0.028104062000000003,29.25,0.0,-14.4957265,"Transportation, Communications, Electric, Gas, Sanitation"
30,819793,ALBANY INTERNATIONAL CORP /DE/,2008-02-29,4,0,23,0,7,1,0,0,0,0,0,2,0,0,4538,1405.425,-75.748,0.0017143660000000002,12.84,14.017999999999999,5848135.59,Manufacturing
31,915913,ALBEMARLE CORP,2008-02-29,0,0,17,4,8,1,0,0,0,1,1,2,0,0,6385,2872.717,194.202,0.067602204,22.3,43.818999999999996,281.4753363,Manufacturing
32,1270436,ALESCO FINANCIAL INC,2008-03-12,5,0,123,7,12,1,0,1,0,9,13,7,2,0,39318,3934.931,-146.343,-0.037190741,0.44,30.375999999999998,7549.090909,"Finance, Insurance, and Real Estate"
33,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,2008-02-29,5,0,29,11,2,0,0,0,0,1,2,3,0,0,10944,5131.096,122.869,0.023945956,60.34,126.50399999999999,278.1471661,"Finance, Insurance, and Real Estate"
34,1097149,ALIGN TECHNOLOGY INC,2008-02-26,3,0,24,35,18,6,0,0,1,8,2,9,0,0,17492,279.341,79.987,0.286341783,8.75,0.0,90.62857143,Manufacturing
35,1018963,ALLEGHENY TECHNOLOGIES INC,2008-02-26,8,0,17,6,7,0,0,0,0,1,1,3,0,0,3303,4170.4,565.9,0.135694418,25.53,71.4,518.0963572,Manufacturing
36,1101215,ALLIANCE DATA SYSTEMS CORP,2008-02-28,1,1,22,2,3,0,0,0,0,0,0,0,0,0,6850,4357.039000000002,217.393,0.049894665,46.53,0.0,61.16483989,Services
37,796317,ALLIANCE FINANCIAL CORP /NY/,2008-03-17,4,1,20,2,0,0,0,0,0,0,3,1,1,0,3233,1367.358,10.357,0.0075744609999999985,23.7,4.673,29.42194093,Retail Trade
