,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa,prcc_f,dvt,Stock Return,Industry
0,1141807,1ST CONSTITUTION BANCORP,2013-03-22,6,0,81,3,1,5,0,1,0,3,3,4,2,0,14630,742.325,5.78,0.007786347,11.0,0.0,-20.36363636,Retail Trade
1,1415277,"1st United Bancorp, Inc.",2013-02-08,4,4,111,25,8,2,0,0,0,8,9,7,4,0,34879,1845.113,6.871,0.003723891,7.61,1.0290000000000001,-4.349540079,Retail Trade
2,66740,3M CO,2013-02-14,0,1,7,1,1,0,0,0,0,0,2,1,1,0,1470,33550.0,4659.0,0.138867362,140.25,2297.0,1603.99287,Manufacturing
3,824142,AAON INC,2013-03-14,1,0,5,0,0,0,0,0,0,0,1,1,0,0,1317,215.444,37.547,0.17427730600000002,31.95,7.428,-11.43035994,Manufacturing
4,887359,AASTROM BIOSCIENCES INC,2013-03-18,13,0,16,3,7,1,0,0,0,2,2,4,0,0,8117,9.215,-15.622,-1.695279436,3.23,5.352,104.7058824,Manufacturing
5,867665,ABRAXAS PETROLEUM CORP,2013-03-18,6,0,30,5,4,2,0,1,0,4,3,6,0,0,10415,223.65,38.647,0.172801252,3.261,0.0,-32.84268629,Mining
6,1070494,ACADIA PHARMACEUTICALS INC,2013-03-12,3,0,14,8,5,4,0,1,1,5,4,12,0,0,12872,189.118,-37.948,-0.20065779,24.99,0.0,-81.39255702,Manufacturing
7,1002388,"ACCELRYS, INC.",2013-03-07,6,0,18,12,9,4,0,0,0,2,2,3,2,0,7395,392.566,5.69,0.014494378,9.54,0.0,-5.136268344,Services
8,1176316,ACCESS NATIONAL CORP,2013-03-18,3,5,91,11,3,2,0,0,0,2,7,5,3,0,17234,847.182,13.207,0.01558933,14.95,11.49,63.81270903,Retail Trade
9,817979,ACCURIDE CORP,2013-03-18,2,0,25,4,13,0,1,0,0,3,1,4,0,0,9276,611.7769999999998,-38.313,-0.062625761,3.73,0.0,-13.94101877,Manufacturing
10,1427925,ACELRX PHARMACEUTICALS INC,2013-03-12,12,0,54,27,17,0,1,2,1,8,10,12,1,0,32625,110.031,-23.426,-0.212903636,11.31,0.0,-62.33421751,Manufacturing
11,935036,"ACI WORLDWIDE, INC.",2013-03-01,1,0,19,5,7,3,0,0,0,0,2,4,0,0,6274,1681.851,63.868,0.037974827,65.0,0.0,-32.78461538,Services
12,715579,ACNB CORP,2013-03-15,1,2,20,3,0,0,1,1,0,5,1,2,1,2,6844,1046.047,9.315,0.008904954,18.06,4.542,14.73975637,Retail Trade
13,880984,"ACORN ENERGY, INC.",2013-03-18,5,0,32,27,16,1,0,2,0,2,2,3,0,0,22062,50.956,-29.714,-0.583130544,4.07,0.634,107.4692875,Manufacturing
14,1062478,ACTUATE CORP,2013-03-08,0,0,19,6,5,2,0,0,0,7,4,3,0,0,8926,196.081,6.801,0.034684646,7.71,0.0,-27.36705577,Services
15,2178,"ADAMS RESOURCES & ENERGY, INC.",2013-03-15,1,0,15,5,5,1,0,0,0,1,3,2,0,0,6967,448.082,21.61,0.04822778,68.5,2.783,-44.74014599,Wholesale Trade
16,926282,ADTRAN INC,2013-02-28,6,0,18,8,10,6,0,2,0,1,3,9,0,1,8452,789.898,45.794,0.057974574,27.01,21.412,51.61791929,Manufacturing
17,927003,ADVANCED ENERGY INDUSTRIES INC,2013-03-06,7,0,29,5,18,3,0,1,0,4,2,6,0,0,9029,652.977,32.086,0.049138025,22.86,0.0,-39.5936133,Manufacturing
18,1002225,ADVENT SOFTWARE INC /DE/,2013-02-28,10,0,29,21,12,5,0,1,0,1,7,9,1,1,16918,456.294,28.802,0.06312158400000001,34.952,470.13300000000004,1306.251431,Services
19,785787,AEP INDUSTRIES INC,2013-01-22,5,0,24,25,3,3,0,0,0,0,2,1,0,0,11117,471.5630000000001,10.748,0.022792289,59.42,0.0,7.590037025,Manufacturing
20,1041379,AFC ENTERPRISES INC,2013-02-27,1,0,8,3,3,6,0,0,0,0,0,0,0,0,3480,200.5,34.1,0.17007481300000002,38.5,0.0,-32.12987013,"Finance, Insurance, and Real Estate"
21,913077,AFFYMETRIX INC,2013-03-04,4,0,23,5,10,8,0,1,0,3,3,5,0,0,9665,504.511,-16.327,-0.03236203,8.57,0.0,-63.01050175,Manufacturing
22,1514281,"AG Mortgage Investment Trust, Inc.",2013-03-06,5,2,88,3,15,1,0,2,0,13,10,9,4,0,25142,3684.706,-31.579,-0.00857029,15.64,92.178,639.5012788,"Finance, Insurance, and Real Estate"
23,1098972,AGENUS INC,2013-03-18,14,0,49,14,18,1,0,2,0,5,9,8,0,0,21116,34.835,-30.073,-0.863298407,2.64,3.159,174.9621212,Manufacturing
24,917251,AGREE REALTY CORP,2013-03-11,3,0,44,9,6,0,0,1,0,4,1,1,0,0,11822,462.742,19.675,0.042518293,29.02,22.386999999999997,69.4589938,"Finance, Insurance, and Real Estate"
25,816159,AIR METHODS CORP,2013-03-01,1,1,3,3,3,2,0,0,0,1,0,1,0,0,3774,1252.5410000000004,62.339,0.049770027,58.26,0.0,-36.64606934,"Transportation, Communications, Electric, Gas, Sanitation"
26,1086222,AKAMAI TECHNOLOGIES INC,2013-03-01,2,0,10,5,7,2,0,0,0,7,3,4,1,0,7602,2957.685,293.487,0.09922862,47.18,0.0,-13.28952946,Services
27,897077,ALAMO GROUP INC,2013-03-11,3,1,13,3,1,4,0,0,0,3,1,1,1,0,4379,438.476,36.094,0.08231693400000001,60.69,3.3710000000000004,-40.66403032,Manufacturing
28,1089511,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,2013-03-01,7,0,34,17,10,0,1,0,1,4,2,12,0,1,18425,748.922,156.381,0.208808127,2.12,0.0,-8.490566038,"Transportation, Communications, Electric, Gas, Sanitation"
